test,anchor,variant,dx,dy,matcher,inliers,total_matches,reproj_err_px,success,inference_ms
spatial_overlap,severodonetsk.jpg,dx0_dy256,0,256,orb,516,539,0.26,1,22.0
spatial_overlap,severodonetsk.jpg,dx0_dy256,0,256,superpoint_lightglue,962,962,0.06,1,2910.0
spatial_overlap,severodonetsk.jpg,dx0_dy256,0,256,xfeat,1718,1961,0.03,1,112.6
spatial_overlap,severodonetsk.jpg,dx64_dy64,64,64,orb,1044,1058,0.19,1,22.5
spatial_overlap,severodonetsk.jpg,dx64_dy64,64,64,superpoint_lightglue,1520,1521,0.05,1,2898.2
spatial_overlap,severodonetsk.jpg,dx64_dy64,64,64,xfeat,2991,3068,0.01,1,126.1
spatial_overlap,severodonetsk.jpg,dx128_dy128,128,128,orb,584,602,0.17,1,21.6
spatial_overlap,severodonetsk.jpg,dx128_dy128,128,128,superpoint_lightglue,1120,1122,0.07,1,2923.7
spatial_overlap,severodonetsk.jpg,dx128_dy128,128,128,xfeat,1985,2209,0.02,1,117.1
spatial_overlap,severodonetsk.jpg,dx192_dy192,192,192,orb,270,281,0.80,1,21.5
spatial_overlap,severodonetsk.jpg,dx192_dy192,192,192,superpoint_lightglue,791,793,0.17,1,2903.7
spatial_overlap,severodonetsk.jpg,dx192_dy192,192,192,xfeat,1201,1686,0.02,1,124.1
spatial_overlap,donbas_rural.jpg,dx0_dy0,0,0,orb,1864,1864,0.00,1,14.6
spatial_overlap,donbas_rural.jpg,dx0_dy0,0,0,superpoint_lightglue,2048,2048,0.00,1,2892.5
spatial_overlap,donbas_rural.jpg,dx0_dy0,0,0,xfeat,4096,4096,0.00,1,125.7
spatial_overlap,donbas_rural.jpg,dx32_dy0,32,0,orb,1206,1241,0.17,1,14.8
spatial_overlap,donbas_rural.jpg,dx32_dy0,32,0,superpoint_lightglue,1867,1867,0.03,1,2937.0
spatial_overlap,donbas_rural.jpg,dx32_dy0,32,0,xfeat,3761,3777,0.01,1,121.8
spatial_overlap,donbas_rural.jpg,dx64_dy0,64,0,orb,983,1048,0.32,1,14.5
spatial_overlap,donbas_rural.jpg,dx64_dy0,64,0,superpoint_lightglue,1705,1705,0.03,1,2908.5
spatial_overlap,donbas_rural.jpg,dx64_dy0,64,0,xfeat,3465,3477,0.01,1,119.1
spatial_overlap,donbas_rural.jpg,dx128_dy0,128,0,orb,911,960,0.27,1,15.2
spatial_overlap,donbas_rural.jpg,dx128_dy0,128,0,superpoint_lightglue,1376,1376,0.01,1,2925.1
spatial_overlap,donbas_rural.jpg,dx128_dy0,128,0,xfeat,2852,2891,0.02,1,112.1
spatial_overlap,donbas_rural.jpg,dx192_dy0,192,0,orb,748,760,0.37,1,14.5
spatial_overlap,donbas_rural.jpg,dx192_dy0,192,0,superpoint_lightglue,1115,1115,0.04,1,2926.9
spatial_overlap,donbas_rural.jpg,dx192_dy0,192,0,xfeat,2333,2396,0.03,1,110.0
spatial_overlap,donbas_rural.jpg,dx256_dy0,256,0,orb,408,418,0.21,1,15.1
spatial_overlap,donbas_rural.jpg,dx256_dy0,256,0,superpoint_lightglue,875,875,0.13,1,2917.7
spatial_overlap,donbas_rural.jpg,dx256_dy0,256,0,xfeat,1863,1962,0.08,1,105.1
